"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 18 19:53:20 GMT 2024","Thu Jul 18 19:53:26 GMT 2024","6842","","Select tab LS","","","","test_tab_active"," Select tab LS "
"passed","Thu Jul 18 19:53:06 GMT 2024","Thu Jul 18 19:53:19 GMT 2024","13625","","Authorisation with valid LS and valid password","","","","test_authorisation_valid_ls_password"," Authorisation with valid LS and valid password. "
"passed","Thu Jul 18 19:52:36 GMT 2024","Thu Jul 18 19:52:51 GMT 2024","15564","","Authorisation with valid email and valid password","","","","test_authorisation_valid_email_password"," Authorisation with valid email and valid password. "
"passed","Thu Jul 18 19:52:52 GMT 2024","Thu Jul 18 19:53:05 GMT 2024","13786","","Authorisation with valid phone and valid password","","","","test_authorisation_valid_phone_password"," Authorisation with valid phone and valid password. "
