"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 24 11:16:07 GMT 2024","Wed Jul 24 11:16:23 GMT 2024","16504","","Регистрация - верификация имени Parameters name_""256 symbols"", param_""ааааааааааббббббббббввввввввввггггггггггддддддддддеееееееееежжжжжжжжжжззззззззззииииииииииккккккккккллллллллллммммммммммннннннннннооооооооооппппппппппррррррррррссссссссссттттттттттууууууууууффффффффффааааааааааббббббббббввввввввввггггггггггддддддддддхххххх"", subtest_""4""","","","","test_registration_not_valid_name[256 symbols]","Пользователь не сможет зарегистрироваться введя в поле Имя 256 кириллических символов"
"passed","Wed Jul 24 11:09:06 GMT 2024","Wed Jul 24 11:09:18 GMT 2024","12160","","Активирование типа ввода Лицевой счет","","","","test_active_tab_ls","Активный таб Лицевой счет переводит поле ввода учетных данных в режим аутентификации по лицевому счету"
"failed","Wed Jul 24 11:09:34 GMT 2024","Wed Jul 24 11:09:48 GMT 2024","14123","","Автоматическая смена таба ЛС на Телефон","","","","test_automated_change_ls_to_phone","При вводе корректного номера телефона таб аутентификации Лицевой счет автоматически меняется на Телефон"
"passed","Wed Jul 24 11:11:15 GMT 2024","Wed Jul 24 11:11:32 GMT 2024","17135","","Авторизация с неверным номером телефона","","","","test_auth_wrong_phone","Пользователь не сможет авторизоваться с номером телефона и паролем не прошедшим регистрацию"
"passed","Wed Jul 24 11:14:30 GMT 2024","Wed Jul 24 11:15:02 GMT 2024","31826","tests","test_reg_page","","","","test_repeat_valid_registration","Повторная регистрация с валидными данными не происходит"
"passed","Wed Jul 24 11:08:53 GMT 2024","Wed Jul 24 11:09:06 GMT 2024","12573","","Активирование типа ввода Телефон","","","","test_active_tab_phone","Активный таб Телефон переводит поле ввода учетных данных в режим аутентификации по телефонному номеру"
"passed","Wed Jul 24 11:10:43 GMT 2024","Wed Jul 24 11:11:01 GMT 2024","18669","","Authorisation with valid LS and valid password","","","","test_authorisation_valid_ls_password","Пользователь может авторизоваться введя валидные лицевой счет и пароль"
"passed","Wed Jul 24 11:11:32 GMT 2024","Wed Jul 24 11:11:50 GMT 2024","17625","","Авторизация с неверным лицевым счетом","","","","test_auth_wrong_ls","Пользователь не сможет авторизоваться введя невалидный лицевой счет"
"failed","Wed Jul 24 11:12:07 GMT 2024","Wed Jul 24 11:12:25 GMT 2024","17872","","Авторизация с некорректной почтой (спецсимволы)","","","","test_authorisation_invalid_email","Поле почта не принимает не разрешенные спецсимволы"
"passed","Wed Jul 24 11:15:02 GMT 2024","Wed Jul 24 11:15:18 GMT 2024","16037","","Регистрация - верификация имени Parameters name_""Empty"", param_"""", subtest_""0""","","","","test_registration_not_valid_name[Empty]","Пользователь не сможет зарегистрироваться оставив поле Имя пустым"
"passed","Wed Jul 24 11:10:04 GMT 2024","Wed Jul 24 11:10:23 GMT 2024","19325","","Authorisation with valid phone and valid password","","","","test_authorisation_valid_phone_password","Пользователь может авторизоваться введя валидные телефон и пароль"
