"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 24 11:09:49 GMT 2024","Wed Jul 24 11:10:03 GMT 2024","14535","","Смена таба Телефон на Лицевой счет","","","","test_automated_change_phone_to_ls","При вводе корректного лицевого счета таб аутентификации Телефон автоматически меняется на Лицевой счет"
"passed","Wed Jul 24 11:08:39 GMT 2024","Wed Jul 24 11:08:53 GMT 2024","13535","","Страница авторизации отображается корректно","","","","test_open_authorization_page","Форма авторизации открывается корректно и содержит элементы для ввода учетных данных"
"passed","Wed Jul 24 11:09:19 GMT 2024","Wed Jul 24 11:09:34 GMT 2024","15109","","Автоматическая смена таба Логин на Телефон","","","","test_automated_change_login_to_phone","При вводе корректного номера телефона таб аутентификации Логин автоматически меняется на Телефон "
"passed","Wed Jul 24 11:16:24 GMT 2024","Wed Jul 24 11:16:39 GMT 2024","15532","","Регистрация - верификация имени Parameters name_""Latin letters"", param_""abcdefgh"", subtest_""5""","","","","test_registration_not_valid_name[Latin letters]","Пользователь не сможет зарегистрироваться введя в поле Имя латинские символы"
"passed","Wed Jul 24 11:11:50 GMT 2024","Wed Jul 24 11:12:07 GMT 2024","16413","","Авторизация с незаполненным полем Почта","","","","test_authorisation_empty_email","Поле Почта не принимает пустое значение"
"passed","Wed Jul 24 11:13:43 GMT 2024","Wed Jul 24 11:14:14 GMT 2024","31249","","Ссылка на Яндекс корректна","","","","test_ref_yandex","Пользователь может перейти по ссылке для  авторизации через Яндекс"
"passed","Wed Jul 24 11:16:39 GMT 2024","Wed Jul 24 11:16:55 GMT 2024","15295","","Регистрация - верификация имени Parameters name_""Special symbols"", param_""@#$%^&*!"", subtest_""6""","","","","test_registration_not_valid_name[Special symbols]","Пользователь не сможет зарегистрироваться введя в поле Имя спецсимволы"
"passed","Wed Jul 24 11:15:51 GMT 2024","Wed Jul 24 11:16:06 GMT 2024","15903","","Регистрация - верификация имени Parameters name_""31 symbols"", param_""ааааабббббвввввгггггдддддеееееж"", subtest_""3""","","","","test_registration_not_valid_name[31 symbols]","Пользователь не сможет зарегистрироваться введя в поле Имя 31 кириллический символ"
"passed","Wed Jul 24 11:12:25 GMT 2024","Wed Jul 24 11:12:40 GMT 2024","14341","","Авторизация с незаполненным полем Лицевой счет","","","","test_authorisation_empty_ls","Пользователь не сможет авторизоваться оставив поле Лицевой счет пустым"
"passed","Wed Jul 24 11:13:10 GMT 2024","Wed Jul 24 11:13:25 GMT 2024","14736","","Авторизация латинские буквы в поле Лицевой счет","","","","test_authorisation_latin_ls","Поле Лицевой счет не принимает латинские буквы"
"passed","Wed Jul 24 11:12:55 GMT 2024","Wed Jul 24 11:13:10 GMT 2024","14492","","Авторизация с полем Лицевой счет больше 12 цифр","","","","test_authorisation_big_ls","Поле Лицевой счет не принимает значение больше 12 цифр"
"passed","Wed Jul 24 11:15:34 GMT 2024","Wed Jul 24 11:15:50 GMT 2024","15975","","Регистрация - верификация имени Parameters name_""10 spaces"", param_""          "", subtest_""2""","","","","test_registration_not_valid_name[10 spaces]","Пользователь не сможет зарегистрироваться введя в поле Имя пробелы"
"passed","Wed Jul 24 11:12:40 GMT 2024","Wed Jul 24 11:12:55 GMT 2024","14921","","Авторизация с полем Лицевой счет меньше 12 цифр","","","","test_authorisation_small_ls","Пользователь не сможет авторизоваться введя в поле Лицевой счет значение меньше 12 цифр"
"passed","Wed Jul 24 11:10:23 GMT 2024","Wed Jul 24 11:10:42 GMT 2024","18891","","Authorisation with valid email and valid password","","","","test_authorisation_valid_email_password","Пользователь может авторизоваться введя валидные электронную почту и пароль"
"passed","Wed Jul 24 11:15:18 GMT 2024","Wed Jul 24 11:15:34 GMT 2024","15603","","Регистрация - верификация имени Parameters name_""1 symbol"", param_""ю"", subtest_""1""","","","","test_registration_not_valid_name[1 symbol]","Пользователь не сможет зарегистрироваться введя в поле Имя 1 кириллический символ"
"passed","Wed Jul 24 11:13:25 GMT 2024","Wed Jul 24 11:13:42 GMT 2024","17096","","Ссылка на Т-Банк корректна","","","","test_ref_tbank","Пользователь может перейти по ссылке для  авторизации через Т-Банк"
"passed","Wed Jul 24 11:14:14 GMT 2024","Wed Jul 24 11:14:29 GMT 2024","15324","","Страница регистрации отображается корректно","","","","test_open_registration_page","Форма регистрации отображается корректно"
"passed","Wed Jul 24 11:11:02 GMT 2024","Wed Jul 24 11:11:15 GMT 2024","13028","","Форма восстановления пароля отображается корректно","","","","test_tab_active","Форма восстановления пароля открывается корректно и содержит элементы для ввода учетных данных "
