"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 18:06:13 GMT 2024","Tue Jul 23 18:06:29 GMT 2024","15413","","Авторизация с неверным номером телефона","","","","test_auth_wrong_phone"," Авторизация с неверным номером телефона "
"passed","Tue Jul 23 18:08:46 GMT 2024","Tue Jul 23 18:09:00 GMT 2024","14497","","Страница регистрации отображается корректно","","","","test_open_registration_page"," Страница регистрации отображается корректно. "
"passed","Tue Jul 23 18:10:43 GMT 2024","Tue Jul 23 18:11:00 GMT 2024","16670","","Регистрация - верификация имени Parameters name_""Латинские буквы"", param_""abcdefgh"", subtest_""5""","","","","test_registration_not_valid_name[\u041b\u0430\u0442\u0438\u043d\u0441\u043a\u0438\u0435 \u0431\u0443\u043a\u0432\u044b]","Латинские буквы"
"passed","Tue Jul 23 18:04:10 GMT 2024","Tue Jul 23 18:04:21 GMT 2024","10396","","Активирование типа ввода Телефон","","","","test_active_tab_phone"," Активирование типа ввода Телефон "
"failed","Tue Jul 23 18:05:45 GMT 2024","Tue Jul 23 18:06:01 GMT 2024","16352","","Authorisation with valid LS and valid password","","","","test_authorisation_valid_ls_password"," Authorisation with valid LS and valid password. "
"passed","Tue Jul 23 18:09:46 GMT 2024","Tue Jul 23 18:10:00 GMT 2024","13739","","Регистрация - верификация имени Parameters name_""Один символ"", param_""ю"", subtest_""1""","","","","test_registration_not_valid_name[\u041e\u0434\u0438\u043d \u0441\u0438\u043c\u0432\u043e\u043b]","Один символ"
"passed","Tue Jul 23 18:09:01 GMT 2024","Tue Jul 23 18:09:32 GMT 2024","30872","tests","test_reg_page","","","","test_repeat_valid_registration",""
"passed","Tue Jul 23 18:06:29 GMT 2024","Tue Jul 23 18:06:46 GMT 2024","16396","","Авторизация с неверным лицевым счетом","","","","test_auth_wrong_ls"," Авторизация с неверным лицевым счетом "
"passed","Tue Jul 23 18:08:00 GMT 2024","Tue Jul 23 18:08:12 GMT 2024","12708","","Авторизация латинские буквы в поле Лицевой счет","","","","test_authorisation_latin_ls"," Авторизация латинские буквы в поле Лицевой счет"
"passed","Tue Jul 23 18:10:00 GMT 2024","Tue Jul 23 18:10:14 GMT 2024","13915","","Регистрация - верификация имени Parameters name_""10 пробелов"", param_""          "", subtest_""2""","","","","test_registration_not_valid_name[10 \u043f\u0440\u043e\u0431\u0435\u043b\u043e\u0432]","10 пробелов"
"passed","Tue Jul 23 18:06:02 GMT 2024","Tue Jul 23 18:06:13 GMT 2024","11423","","Форма восстановления пароля отображается корректно","","","","test_tab_active"," Форма восстановления пароля отображается корректно "
"failed","Tue Jul 23 18:04:46 GMT 2024","Tue Jul 23 18:04:59 GMT 2024","12955","","","","","","test_automated_change_ls_to_phone","   "
"skipped","Tue Jul 23 18:08:27 GMT 2024","Tue Jul 23 18:08:46 GMT 2024","19013","","Ссылка на Яндекс корректна","","","","test_ref_yandex"," Ссылка на Яндекс корректна "
"passed","Tue Jul 23 18:06:46 GMT 2024","Tue Jul 23 18:07:02 GMT 2024","15664","","Авторизация с незаполненным полем Почта","","","","test_authorisation_empty_email"," Авторизация с незаполненным полем Почта "
"passed","Tue Jul 23 18:08:13 GMT 2024","Tue Jul 23 18:08:26 GMT 2024","13671","","Ссылка на Т-Банк корректна","","","","test_ref_tbank"," Ссылка на Т-Банк корректна "
"passed","Tue Jul 23 18:04:21 GMT 2024","Tue Jul 23 18:04:32 GMT 2024","10808","","Активирование типа ввода Лицевой счет","","","","test_active_tab_ls"," Активирование типа ввода Лицевой счет "
"passed","Tue Jul 23 18:09:32 GMT 2024","Tue Jul 23 18:09:46 GMT 2024","13942","","Регистрация - верификация имени Parameters name_""Пустое поле"", param_"""", subtest_""0""","","","","test_registration_not_valid_name[\u041f\u0443\u0441\u0442\u043e\u0435 \u043f\u043e\u043b\u0435]","Пустое поле"
