"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 23 18:10:14 GMT 2024","Tue Jul 23 18:10:28 GMT 2024","13951","","Регистрация - верификация имени Parameters name_""31 символ"", param_""ааааабббббвввввгггггдддддеееееж"", subtest_""3""","","","","test_registration_not_valid_name[31 \u0441\u0438\u043c\u0432\u043e\u043b]","31 символ"
"passed","Tue Jul 23 18:07:33 GMT 2024","Tue Jul 23 18:07:46 GMT 2024","13345","","Авторизация с полем Лицевой счет меньше 12 цифр","","","","test_authoration_small_ls"," Авторизация с полем Лицевой счет меньше 12 цифр"
"passed","Tue Jul 23 18:04:32 GMT 2024","Tue Jul 23 18:04:45 GMT 2024","13447","","","","","","test_automated_change_login_to_phone","   "
"failed","Tue Jul 23 18:05:28 GMT 2024","Tue Jul 23 18:05:44 GMT 2024","16410","","Authorisation with valid email and valid password","","","","test_authorisation_valid_email_password"," Authorisation with valid email and valid password. "
"passed","Tue Jul 23 18:10:29 GMT 2024","Tue Jul 23 18:10:43 GMT 2024","14101","","Регистрация - верификация имени Parameters name_""256 символов"", param_""ааааааааааббббббббббввввввввввггггггггггддддддддддеееееееееежжжжжжжжжжззззззззззииииииииииккккккккккллллллллллммммммммммннннннннннооооооооооппппппппппррррррррррссссссссссттттттттттууууууууууффффффффффааааааааааббббббббббввввввввввггггггггггддддддддддхххххх"", subtest_""4""","","","","test_registration_not_valid_name[256 \u0441\u0438\u043c\u0432\u043e\u043b\u043e\u0432]","256 символов"
"passed","Tue Jul 23 18:11:00 GMT 2024","Tue Jul 23 18:11:15 GMT 2024","14775","","Регистрация - верификация имени Parameters name_""Спецсимволы"", param_""@#$%^&*!"", subtest_""6""","","","","test_registration_not_valid_name[\u0421\u043f\u0435\u0446\u0441\u0438\u043c\u0432\u043e\u043b\u044b]","Спецсимволы"
"passed","Tue Jul 23 18:03:58 GMT 2024","Tue Jul 23 18:04:10 GMT 2024","12064","","Страница авторизации отображается корректно","","","","test_open_authorization_page"," Страница авторизации отображается корректно. "
"failed","Tue Jul 23 18:04:59 GMT 2024","Tue Jul 23 18:05:12 GMT 2024","12997","","","","","","test_automated_change_phone_to_ls","   "
"passed","Tue Jul 23 18:07:46 GMT 2024","Tue Jul 23 18:07:59 GMT 2024","12990","","Авторизация с полем Лицевой счет больше 12 цифр","","","","test_authorisation_big_ls"," Авторизация с полем Лицевой счет больше 12 цифр"
"failed","Tue Jul 23 18:05:13 GMT 2024","Tue Jul 23 18:05:27 GMT 2024","14829","","Authorisation with valid phone and valid password","","","","test_authorisation_valid_phone_password"," Authorisation with valid phone and valid password. "
"failed","Tue Jul 23 18:07:02 GMT 2024","Tue Jul 23 18:07:18 GMT 2024","16276","","Авторизация с некорректной почтой","","","","test_authorisation_invalid_email"," Авторизация с некорректной почтой "
"passed","Tue Jul 23 18:07:19 GMT 2024","Tue Jul 23 18:07:32 GMT 2024","13652","","Авторизация с незаполненным полем Лицевой счет","","","","test_authorisation_empty_ls"," Авторизация с незаполненным полем Лицевой счет "
